,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
122,Houston TexansHOU,26,Jacksonville JaguarsJAX,3,2019,9,5,4,Houston TexansHOU,Houston TexansHOU,No,AFC South,AFC South,Yes
123,Washington RedskinsWAS,9,Buffalo BillsBUF,24,2019,9,1,5,Buffalo BillsBUF,Buffalo BillsBUF,No,NFC East,AFC East,No
124,Tennessee TitansTEN,20,Carolina PanthersCAR,30,2019,9,4,4,Carolina PanthersCAR,No Favorite,No Favorite,AFC South,NFC South,No
125,Minnesota VikingsMIN,23,Kansas City ChiefsKC,26,2019,9,6,5,Kansas City ChiefsKC,Minnesota VikingsMIN,Yes,NFC North,AFC West,No
126,New York JetsNYJ,18,Miami DolphinsMIA,26,2019,9,1,0,Miami DolphinsMIA,New York JetsNYJ,Yes,AFC East,AFC East,Yes
127,Chicago BearsCHI,14,Philadelphia EaglesPHI,22,2019,9,3,4,Philadelphia EaglesPHI,Philadelphia EaglesPHI,No,NFC North,NFC East,No
128,Indianapolis ColtsIND,24,Pittsburgh SteelersPIT,26,2019,9,5,3,Pittsburgh SteelersPIT,Indianapolis ColtsIND,Yes,AFC South,AFC North,No
129,Detroit LionsDET,24,Oakland RaidersOAK,31,2019,9,3,3,Oakland RaidersOAK,No Favorite,No Favorite,NFC South,AFC West,No
130,Tampa Bay BuccaneersTB,34,Seattle SeahawksSEA,40,2019,9,2,6,Seattle SeahawksSEA,Seattle SeahawksSEA,No,NFC South,NFC West,No
131,Cleveland BrownsCLE,19,Denver BroncosDEN,24,2019,9,2,2,Denver BroncosDEN,No Favorite,No Favorite,AFC North,AFC West,No
132,Green Bay PackersGB,11,Los Angeles ChargersLAC,26,2019,9,7,3,Los Angeles ChargersLAC,Green Bay PackersGB,Yes,NFC North,AFC West,No
133,New England PatriotsNE,20,Baltimore RavensBAL,37,2019,9,8,5,Baltimore RavensBAL,New England PatriotsNE,Yes,AFC East,AFC North,No
134,Dallas CowboysDAL,37,New York GiantsNYG,18,2019,9,4,2,Dallas CowboysDAL,Dallas CowboysDAL,No,NFC East,NFC East,Yes
135,Los Angeles ChargersLAC,24,Oakland RaidersOAK,26,2019,10,4,4,Oakland RaidersOAK,No Favorite,No Favorite,AFC West,AFC West,Yes
136,Detroit LionsDET,13,Chicago BearsCHI,20,2019,10,3,3,Chicago BearsCHI,No Favorite,No Favorite,NFC South,NFC North,No
137,Baltimore RavensBAL,49,Cincinnati BengalsCIN,13,2019,10,6,0,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC North,AFC North,Yes
138,Buffalo BillsBUF,16,Cleveland BrownsCLE,19,2019,10,6,2,Cleveland BrownsCLE,Buffalo BillsBUF,Yes,AFC East,AFC North,No
